Status,Cov Matrix,Threshold,"Component 
Number","Correct 
Num",Accuracy,"Converge 
Step"
test,spherical,0.0001,6,48,21.82 ,22
train,full,0.001,6,47,21.36 ,10
train,full,0.0001,6,47,21.36 ,20
test,spherical,0.0001,7,47,21.36 ,22
test,spherical,1.00E-05,7,47,21.36 ,29
test,spherical,1.00E-05,6,47,21.36 ,37
test,spherical,0.001,7,46,20.91 ,13
test,spherical,0.0001,5,46,20.91 ,22
test,spherical,1.00E-05,5,46,20.91 ,30
test,diag,1.00E-05,8,45,20.45 ,81
train,diag,0.0001,8,37,16.82 ,35
train,diag,1.00E-05,8,37,16.82 ,81
test,spherical,0.001,9,34,15.45 ,9
train,diag,0.001,8,34,15.45 ,15
test,diag,0.0001,8,34,15.45 ,35
test,spherical,0.0001,9,33,15.00 ,16
test,spherical,1.00E-05,9,33,15.00 ,31
test,diag,0.001,8,31,14.09 ,15
train,spherical,0.0001,9,31,14.09 ,16
train,spherical,1.00E-05,9,30,13.64 ,31
train,diag,1.00E-05,9,30,13.64 ,55
train,spherical,0.001,9,29,13.18 ,9
train,diag,0.0001,9,29,13.18 ,32
test,diag,1.00E-05,9,29,13.18 ,55
test,diag,0.0001,9,28,12.73 ,32
train,diag,0.001,9,27,12.27 ,25
test,full,0.001,8,26,11.82 ,22
test,diag,0.001,9,26,11.82 ,25
test,full,0.0001,8,26,11.82 ,26
test,full,1.00E-05,8,26,11.82 ,48
train,full,0.001,8,25,11.36 ,22
train,full,0.0001,8,25,11.36 ,26
train,full,1.00E-05,8,25,11.36 ,48
train,full,0.001,9,19,8.64 ,10
train,full,0.0001,9,18,8.18 ,29
train,full,1.00E-05,9,18,8.18 ,65
test,full,0.001,9,17,7.73 ,10
test,full,0.0001,9,17,7.73 ,29
test,full,1.00E-05,9,17,7.73 ,65
