Status,Cov Matrix,Threshold,"Component 
Number","Correct 
Num",Accuracy,"Converge 
Step"
test,spherical,0.0001,8,32,14.22 ,16
train,diag,1.00E-05,8,32,14.22 ,129
train,diag,0.001,8,31,13.78 ,14
train,diag,0.001,9,31,13.78 ,15
test,full,0.001,8,31,13.78 ,26
train,full,0.0001,8,31,13.78 ,68
train,full,1.00E-05,8,31,13.78 ,101
train,spherical,0.001,6,30,13.33 ,10
train,full,0.001,7,30,13.33 ,17
train,full,0.0001,7,30,13.33 ,26
train,full,1.00E-05,9,30,13.33 ,88
test,spherical,0.001,6,29,12.89 ,10
test,spherical,0.001,9,29,12.89 ,10
train,spherical,0.0001,8,29,12.89 ,16
test,spherical,0.0001,9,29,12.89 ,28
train,full,0.001,6,29,12.89 ,14
test,full,0.001,6,29,12.89 ,14
train,full,0.001,9,28,12.44 ,30
train,full,0.0001,9,28,12.44 ,52
train,spherical,0.0001,6,27,12.00 ,23
train,spherical,0.0001,9,27,12.00 ,28
test,diag,0.001,9,27,12.00 ,15
train,full,0.001,8,27,12.00 ,26
test,full,0.0001,6,27,12.00 ,32
train,spherical,0.001,8,26,11.56 ,7
test,full,0.0001,8,26,11.56 ,68
test,full,1.00E-05,8,26,11.56 ,101
test,full,1.00E-05,9,26,11.56 ,88
train,spherical,0.001,9,25,11.11 ,10
test,spherical,0.0001,6,24,10.67 ,23
test,full,0.0001,9,24,10.67 ,52
train,spherical,1.00E-05,6,21,9.33 ,103
test,full,0.001,7,21,9.33 ,17
test,full,0.001,9,20,8.89 ,30
train,diag,0.0001,9,19,8.44 ,77
train,diag,1.00E-05,9,19,8.44 ,95
test,full,0.0001,7,18,8.00 ,26
test,spherical,1.00E-05,6,17,7.56 ,103
test,diag,0.0001,9,13,5.78 ,77
test,diag,1.00E-05,9,13,5.78 ,95
